######################################################################								
# Company:	LCL_JoeFresh							
# URL:	www.beautyboutique.ca							
# Site:	www.beautyboutique.ca							
# Range:	Fri. 24 Nov. 2017 - Thu. 30 Nov. 2017							
# Report:	Last Touch Channel Report							
# Description:								
######################################################################								
# Report Options:								
# Report Type: 	Ranked							
# Selected Metrics: 	"Revenue, Visits, Orders"							
# Broken Down by: 	Last Touch Channel Detail							
# Data Filter: 	None							
# Compare to Report Suite: 	None							
# Compare to Segment: 	None							
# Selected Last Touch Channel: 	Paid Social: Facebook							
# Percent Shown as: 	Number							
# Segment: 	All Visits (No Segment)							
######################################################################								
#								
# Copyright 2017 Adobe Systems Incorporated. All rights reserved.								
# Use of this document signifies your agreement to the Terms of Use (http://marketing.adobe.com/resources/help/terms.html?type=prod&locale=en_US) and Online Privacy Policy (http://my.omniture.com/x/privacy).								
# Adobe Systems Incorporated products and services are licensed under the following Netratings patents: 5675510 5796952 6115680 6108637 6138155 6643696 and 6763386.								
#								
######################################################################								
								
Last Touch Channel by Last Touch Channel Detail 		Revenue		Visits		Orders		
1	Paid Social: Facebook	4315		16252		38		
	135	fb_P11_ca_BB-DynamicRemarketing-Oct6_CrossSelling14Days-Carousel-V2	0	0.00%	1	0.00%	0	0.00%
	136	Fb_11292015_ca_18K-Black-Friday_lookalike	0	0.00%	1	0.00%	0	0.00%
	137	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Carousel_V3_C10	0	0.00%	1	0.00%	0	0.00%
	138	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_DemiDerm-Canvas-TakeTheQuiz	0	0.00%	1	0.00%	0	0.00%
	139	fb_P11_ca_BB-DynamicRemarketing-Oct6_CrossSelling14Days-Carousel-V1	0	0.00%	1	0.00%	0	0.00%
	140	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Carousel_V3_C4	0	0.00%	1	0.00%	0	0.00%
	141	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_Lookalike-Canvas-ShopGiftSets	0	0.00%	1	0.00%	0	0.00%
	142	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_Lookalike-Canvas-TakeTheQuiz	0	0.00%	1	0.00%	0	0.00%
	143	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_SamplerCalendar-Canvas-ShopGiftSets	0	0.00%	1	0.00%	0	0.00%
	144	fb_P12_BB-Holiday-Value-Prop_DD-PP_EN_Carousel_V3_C2	0	0.00%	1	0.00%	0	0.00%
	145	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_DemiDerm-Canvas-GiftSetsAreHere	0	0.00%	1	0.00%	0	0.00%
	146	fb_P11_ca_BB-DynamicRemarketing-Oct6_CrossSelling10Days-Carousel-V1	0	0.00%	1	0.00%	0	0.00%
	147	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Carousel_V3_C6	0	0.00%	1	0.00%	0	0.00%
	148	fb_P11_ca_BB-DynamicRemarketing-Oct6_ProductViewers60Days-Carousel-V2	0	0.00%	1	0.00%	0	0.00%
	149	fb_P13_ca_BB-HolidayValuePropDecember-Nov30_Lookalike-Canvas-ShopGiftsByPrice	0	0.00%	1	0.00%	0	0.00%
	150	FB_P6_ca_BB-RedemptionPlus_June10_BluecoreDGLife-CycleRepeatBuyer-All-Carousel-C10	0	0.00%	1	0.00%	0	0.00%
	151	fb_P12_BB-Holiday-Value-Prop_DD-PP_EN_Standard_V3	0	0.00%	1	0.00%	0	0.00%
	152	fb_P12_BB-Holiday-Value-Prop_EE_EN_Carousel_V1_C1	0	0.00%	1	0.00%	0	0.00%
	153	fb_P12_BB-Holiday-Value-Prop_EE_EN_Carousel_V1_C4	0	0.00%	1	0.00%	0	0.00%
	154	fb_P12_ca_BB-38Kon200-CyberMonday-Nov28_lookalike-1-cybermonday-customeremails-V2-seemore	0	0.00%	1	0.00%	0	0.00%
	155	fb_P12_BB-BFWeek-Nov20_BluecoreLookalike_EN_Carousel_V1_C7	0	0.00%	1	0.00%	0	0.00%
	156	fb_P11_ca_BB-BlackFridayWeek-Nov20_LikelihoodtoConvertMedium-Collection-V2	0	0.00%	1	0.00%	0	0.00%
	157	fb_P12_BB-Holiday-Value-Prop_BluecoreLAL_EN_Carousel_V1_C5	0	0.00%	1	0.00%	0	0.00%
